;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False
Liste todos os musicais com músicas de Elton John.;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False
Qual a altura do Farol em Colombo?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;True;True;False;True;False;True;True;True;False;True;False;True;False;False;False;True;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Quem foi a esposa do presidente americano Lincoln?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False
Quem é o apresentador do BBC Wildlife Specials?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Quanto custou Pulp Fiction?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False
Em que cidade fica a cervejaria Heineken?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;False;False;False
Quando começou a Operação Overlord?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Em que cidade termina a Rota 68 do Chile?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;False;False;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;False
Quem desenvolveu o Slack?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;False;False;False
Quem foi casada com o presidente Chirac?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;True;False;False;True;True;False;True;False;False;True;True;False;False;False;False
De que morreu Bruce Carver?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Quem pintou Tormenta no Mar da Galileia?;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Em quais cidades o rio Weser passa?;True;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;False
Quantas cadeiras tem o estádio do Futebol Clube do Porto;False;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;False;False;True;True;False;False;False;False;True;True;False;False;False;False;True;True;False;False;False;False
