;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500
Quando foi a batalha de Gettysburg?;2275794536;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2220867893;2183460195;2198469058;2138915363;2157730732;2171430472;2331040574;2139580122;2175333073;2181216396;2204815107;2185519815;2156383246;2162556655;2166921262;2159628630;2158039178;2183910185;2148813499;2147917410
Liste todos os musicais com músicas de Elton John.;1497101744;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1509488221;1468058799;1433875564;1442975900;1469296012;1459217477;1476216662;1441850186;1463740315;1403826598;1469653569;1464173242;1469255211;1473034672;1451713532;1447518828;1484763767;1502517069;1456895092;1491110461
Qual a altura do Farol em Colombo?;15638200850;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13548786147;13563157751;13629478719;13466028672;13897041766;13774643335;13477908259;13790206156;13594734597;13775740249;13668408163;13614956182;13621007783;13602190425;14033559813;13941808394;14519303976;13908173061;14199732831;13921199620
Quem foi a esposa do presidente americano Lincoln?;3024997644;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2916812262;2901239634;2936170727;2932125708;2919624338;3271184109;2923558388;2922607289;2942755376;2907894670;2949541372;2985368204;2947552532;2988754015;3296280048;2901885537;2896841650;2980977270;2974992013;2971890045
Quem é o apresentador do BBC Wildlife Specials?;10401927013;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9645116559;9687756205;10075703532;9684871900;10032941368;9842916575;10036073553;10040949052;9698911544;10170719828;10277546754;9822359692;9641197495;9981991783;10050486972;10088566872;9657764208;9999403618;9704350441;9680685026
Quanto custou Pulp Fiction?;55194590016;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;53854356897;96412049631;54590452972;55227038391;53837625967;55251531083;95176268633;54169343103;55243399064;55924086370;55413706562;54298437788;53576033803;54412517284;54391529268;53238991969;96502999990;54454755887;54316608877;54991212873
Em que cidade fica a cervejaria Heineken?;1531921051;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1591858564;1529903770;1482678060;1558847076;1493482518;1553431310;1515544386;1496922877;1491636851;1455238345;1608741802;1464119491;1517682699;1503881411;1535997679;1561206042;1556307366;1504875566;1532608776;1549724215
Quando começou a Operação Overlord?;766854182;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;738082213;745873584;743320383;722923279;700716769;732227757;770494639;753433174;740651770;797693232;756604761;721541723;715269991;736164427;717321923;712382812;752392594;739691051;718342933;724590640
Em que cidade termina a Rota 68 do Chile?;49979526080;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3821902357;3877161687;3816873664;3828076794;3932341512;3880814549;3884213808;3875620261;3912583586;3974884048;3880669877;3988614540;4039795909;4000115070;4242853180;4259518658;4224127448;4423166440;4547391903;4406491112
Quem desenvolveu o Slack?;978703993;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;943204057;958598825;997079395;953202402;927408340;930721218;958413033;935747298;952961276;960341529;952858843;947687028;948644961;916587403;969230165;939807672;962619214;914522324;977072475;985825039
Quem foi casada com o presidente Chirac?;851109832;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;870151088;897469684;863366224;853202603;888000936;862086544;846874799;884360087;865466882;847785788;824214630;838957504;839390278;854831460;845659065;841116129;853969446;877304257;844488482;858904528
De que morreu Bruce Carver?;827270796;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;783612884;789009335;777648364;803418610;792852560;771062674;757415549;802087012;842373893;778035954;812106666;795641517;784040958;811604970;800884693;811021070;814897398;784456209;820825535;774614768
Quem pintou Tormenta no Mar da Galileia?;968141335;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;840224152;776356521;815237331;850750867;873706697;837225835;850019949;872116525;914731570;882699787;947709528;951342772;954269152;970831796;921055866;928698987;975059846;953161665;965389085;921196211
Em quais cidades o rio Weser passa?;38971956681;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1475164386;1389929235;1531740222;1516284514;1494439042;1445864205;1490893175;1466744103;1513882388;1498227641;1532057309;1498079719;1529692310;1498731304;1535566708;1485103852;1597564811;1524331534;1575256512;1561108832
Quantas cadeiras tem o estádio do Futebol Clube do Porto;18282670315;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1194666335;1201823485;1197148983;1204084549;1253812084;1205797492;1254349387;1256078435;1283451332;1322292199;1324751058;1338167437;1315847126;1376472759;1416703951;1441639777;1665587652;1714344350;1882504945;1788492732
Com quem a filha de Robert Kennedy casou-se?;5221139512;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2634619814;2591484497;2677395932;2535538046;2658813056;2532457474;2576574039;2725766665;2586332070;2599154271;3054577099;2662077236;2707588300;2886394677;2671411198;2666031190;2685830961;3008849392;2759253460;2685035592
Que livros de Kerouac foram publicados pela Viking Press?;28937125083;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1375851957;1351674130;1380139999;1479552964;1404588686;1391172337;1405188643;1374935916;1351110585;1419213165;1405173608;1452152301;1490027135;1473182106;1520999418;1471923326;1681016061;1598096082;1780895588;1611177308
Qual a altura de Amazon Eve?;2470911820;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2379428897;2380292404;2331252887;2363502001;2306979118;2712137653;2311870150;2342028767;2310205146;2368886167;2504951563;2354939536;2395753960;2253485436;2351107794;2759873288;2308487495;2384972048;2267592527;2352728878
Em que museu está exposto O Grito de Munch?;4208646214;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1501694898;1471302600;1501154108;1554224686;1523414717;1562571408;1571964335;1537462791;1559016886;1598293485;1569255146;1599460576;1584256526;1613160235;1626490789;1729985723;1677930329;1680049436;1712740683;1705793547
Quem escreveu o livro Os Pilares da Terra?;1033114503;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1031412922;1034684701;1034947828;1022610441;1001645499;1060933303;1047474835;1029426533;1021131915;1038973929;1028414442;995154279;1051490437;1020066549;1048053752;1001680046;1018865691;987490620;1033899015;1099877935
James Bond é casado?;917085382;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;892544821;939673991;880644625;895861679;913291480;892075137;912574776;860285410;913485751;879503416;871999549;958311201;916476803;888407721;896966371;908302594;908925492;941272706;927642632;903805782
Quem descobriu Ceres?;1016368218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;995664960;1057300993;1047326356;992222162;987169569;1056275624;1010587870;997777125;1001970884;1061798593;1050934000;1001657134;1069495643;1030944281;1031970475;974000812;1067937442;997123095;1022505245;1082918710
