;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;10478593743;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10500173783;10348457223;10569544528;10543858844;10582375762;10596113841;10519900005;10647817795;10649162956;10806021865;11830896821;11651040320;10711838533;10474793369;11178580130;11201235613;17346686235;16090992488;10639506836;10524946457;11489809326;11368985056;49156155606;31581655258;10594829276;10648993362;12337918257;11930591349;146699725591;51604868429;10610205008;10618232001;14642196587;12453001985;143103094049;143015745920;10694360977;10617366018;19544416372;13498450942;154293280508;142693384557;10737942218;10842172088;47916246237;16586938842;150862769857;149502256992;10999631322;10904922687;145624309330;21064888927;142992459161;151015348036;11192003014;11214610476;144885641465;27625207584;144839666199;192276709499;11366594400;11632224178;143427557673;59801317113;143578384613;154339994479
Liste todos os musicais com músicas de Elton John.;8597213372;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;8628512113;8755748332;8561041138;8685406183;8698512650;8659775980;8579299323;8789133300;8805880913;8831967550;10235140936;10184036471;8689430149;8681036174;9131010305;8831428526;16671240904;16596182941;8709090326;8741543962;10002747497;9708312280;51518099905;53063401270;8944159435;8665212586;10709023584;10035280065;149745690833;144695383842;8741709179;8889244205;13163273498;11889930482;142275967064;141390116637;8811997987;8843399507;18291357584;15514287642;139422947751;150858503758;8994699332;8992872950;48207487669;29915613155;253871882445;260270423401;9130692368;9215465934;165219748236;54119037738;149985963430;143306845494;9364552852;9258292845;142404001902;140658547740;156981245426;136892601461;9209927392;9278449890;157474953213;149055739184;149127460270;148797180026
Qual a altura do Farol em Colombo?;26127157599;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;24362493415;24022580163;24853754049;24444556148;24725489989;24702771137;24320663363;24120182617;25144507221;24911848340;25925147489;25346693860;19978433209;24397131996;24755441923;24720548988;31712285186;31558321455;24122594869;24457177665;25629773765;25328960402;67242673275;70626443182;24534581026;24461185406;26037267423;25351145807;148788669009;149229497078;25222617968;24671767252;29140475245;26971044429;140815076269;145800976586;24763300868;24449096040;33987004330;30539538935;158237519761;155739342608;24592267503;24446742327;61222043747;66188650386;152325996491;163068676575;24499595230;25074016625;142334689086;145055282364;147273162192;136826564204;24687082210;24690702410;144624474729;154459019965;148907040193;144114175512;24890983550;25130164328;146413330585;154322298703;140431374984;142813078812
Quem foi a esposa do presidente americano Lincoln?;11944069707;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;11908879597;12356876938;11881643095;11940564384;11911864373;12006492645;11966187676;11908679571;12071029080;12090610133;13137108780;13575549714;11991041749;11836770146;12494983125;12469126904;18572711775;18770406571;11824921058;12076887968;13402458306;13409470771;52647671658;51937475281;12040805856;11919372603;13326804928;13177466178;147219025284;140106987106;11937377929;12094445538;15695721167;15745571535;142559789281;138734295710;12084403317;12143448137;20161195515;21591804709;139188323397;145353274606;12193440600;12213821338;49125002136;33028278195;164375819930;218784716250;12263893261;12338642350;152629203227;51187159975;148141308737;250683045886;12277240423;12290834049;142472149747;97539945277;147089134054;144877468285;12262303132;12281065588;138378941174;149825947796;152095885993;177820888055
Quem é o apresentador do BBC Wildlife Specials?;19273673566;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;18984317842;18709036793;19071945306;18666980129;19266928570;18673021087;18574831424;18924160236;19140688041;19368802319;20010433179;19722155349;18781548894;19025747175;18847253993;19274743495;24936351920;24616854234;18792818874;18896356584;19633586084;19208133114;58222709122;55467156143;18804171798;19005668916;20162902848;19692767003;152553114685;139087396822;18956857168;18882053831;22537947297;20145649943;138775529735;152006062063;19127868080;19090639424;26575013982;20372369663;143160393778;147813747373;18878293508;19192045026;54665790353;23709863199;154129725730;171145785787;18751875361;18810570400;139206512994;33857444107;153048082594;157140458331;18826296459;19043573689;149433402647;55670535977;144737924352;162032737438;19249793114;19153671883;138559187189;147932091491;139264326887;143809809069
Quanto custou Pulp Fiction?;69794216023;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;69910398091;69753816487;69615089646;109292153502;108841004184;68979060862;69607091890;69400318652;68478728898;108523234989;71020781741;70883362611;69739598633;69648298688;70064417582;108628149486;78651431471;76311044588;108385642647;71004214385;70434863823;71661165533;106603297039;106632156053;71013103158;69172395383;73133406900;72067637633;142449661227;150855835793;71979209490;113176131766;71760184380;74995841585;137333750137;140309854101;108467930546;70267153200;79484492013;117968491411;141280797845;150882651172;69292267162;69121119516;102445064242;82853028910;147409716984;145403693899;69260203792;68888261633;140863708533;100593176198;138609773631;147031397365;72012818292;68840437455;152637925127;122186393082;148610175515;146762658000;70112824101;69804570245;148051553440;148539714400;137947838618;145709396071
Em que cidade fica a cervejaria Heineken?;10624248681;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10822987053;10497388148;10633283843;10562420245;10661697431;10551509458;10556295341;10637029269;10879714290;10792143859;12144808254;11889254230;10641522599;10590815128;11008480040;11205404688;17899264846;17724164733;10679059308;10594633470;11582461164;11349019124;48974426494;48511231815;10845782064;10562715766;12224255106;11711395844;143316349577;143069872083;10759068157;10534537696;14960563246;13480872475;142691967394;157169223666;10741827067;10878714364;19137588600;14745266331;141174460235;152188412541;10633610932;10629690222;47843764786;18901783396;279513380593;82942129645;10548543643;10438543081;150306208854;26646705685;174702968481;208073379994;10597858105;10606094549;146317154054;42950196024;165471124525;169788516893;10569491371;10672191152;163964333643;144724583465;149878129927;144068137686
Quando começou a Operação Overlord?;6841204233;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;6847213161;6919737127;6859849446;6793279848;6986412488;7046519476;6974231619;6800857944;6936750137;6946685061;7070183886;7046316976;6852993357;6895809254;6975010492;6947586933;7178510075;7137211973;6999185230;6894603963;6920222432;6974650941;7112624486;7107541777;6920673575;6847461408;6951923923;7078905148;7127129530;7247936084;6949523425;6890111061;6950547094;6878465720;7168023148;7163709813;6871831168;6928904931;6949267827;6959948955;7220221135;7125303755;6947565251;6923494994;7036818345;6941940592;7122388719;7063088880;6950098695;6812705573;6965761272;6982375143;7101243478;7219555661;6909144316;6910175912;7042463805;7050542994;7190888140;7144704324;6934944613;7010901945;6966446664;6910477326;7197185505;7202245131
Em que cidade termina a Rota 68 do Chile?;61356914027;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;15127283955;15248171479;15520451913;15399366373;15615586742;15405330159;15092822075;15302002291;15807458943;15725029166;16640452784;16801126190;15365430660;15238727562;15893223231;15480593164;23747597787;22643187843;15343128404;15311696569;16369609787;15923759451;58946669231;55418335630;15421066280;15603234744;16566893340;16742876697;149534910794;143381658302;15388641365;15429216146;19835160095;19223613056;146980130014;146084583205;15629044930;15512902116;25105027759;23613068594;147151488483;155224479609;15729017301;15809806216;54075860982;48667998796;250150510714;170229835127;16058760726;15853791303;150945906650;142047914175;142404068259;142638295073;16048031071;15813095525;144609527730;149664185940;150747474488;141501286613;16024216990;16002754109;136627757787;151457706903;141733936896;143847684067
