,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000
Quando foi a batalha de Gettysburg?,10943585271,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10685827059,10841244588,11111721068,10851756526,10934114759,10754122609,10800142953,10640129715,10842601857,10643017219,10772889866,10841822027,10761190743,10787541836,10815488557,10612202040,10916503790,10713793080,10889551969,10804014574,10851198538,10716879526,10712271067,10730112487
Liste todos os musicais com músicas de Elton John.,8656647212,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8908424519,8676716350,8769832523,8686040875,8685196456,8668522302,8807421844,8717353850,8772868407,8741804163,8703939592,8728269563,8676827741,8757944241,8763120473,8692862541,8647674690,8834952982,8661102545,8712963401,8707116466,8764425526,8604742090,8842025075
Qual a altura do Farol em Colombo?,22530560812,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,18699853028,18308872791,19032335273,18370486861,18384867588,18437822657,18321996557,18319651134,18379976470,18217235047,18528918433,18227530563,17689110021,17773405883,17366166526,17562530475,17708027755,17473642123,17595592693,17534189163,17690154979,17538239839,17709491453,17540818800
Quem foi a esposa do presidente americano Lincoln?,7846368562,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7904090583,7773166372,7813426062,7890938464,7817589651,7773829451,7767924297,7780991020,7902471786,7777581980,7847194122,7883278946,7785186599,7824819937,7870641374,7702333349,7827578478,7768369198,7726979085,7896820267,7769685049,7776318233,7966312894,7924218404
Quem é o apresentador do BBC Wildlife Specials?,19474171380,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19514955191,19699103721,19827841612,19739760569,19876988239,19444628517,19719581342,19471705221,19968558034,19727316113,19585493920,19340613403,19584312087,19586271030,19403651305,19333250409,19171246123,19488781221,19278106945,19579900705,19315352723,19783570692,19646202798,19883455144
Quanto custou Pulp Fiction?,7318822407,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7460504371,7275512212,7343128112,7337297603,7308764502,7242289221,7302156160,7300284436,7354358851,7236391048,7186969587,7344194470,7256296358,7113324312,7251664122,7133635232,7253239366,7371889505,7328478285,7315000876,7184727910,7162822594,7199467228,7341933499
Em que cidade fica a cervejaria Heineken?,8004108426,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,8202498890,7974079425,8121921939,8047739346,8204235173,7983317254,8007600216,8025519658,7968761733,7965954815,7972581846,7987756187,8107191806,8009678439,8124725922,8109235385,7942464159,7978292321,8015145120,8017233828,7984147866,8011902495,8216410708,8080921814
Quando começou a Operação Overlord?,6833449976,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,6669869261,6794918817,6746599431,6815052594,6815228241,6819197312,6830138680,6799633064,6824546200,6774420486,6700466473,6834319814,6703754680,6756307382,6781763150,6730699533,6719336754,6779091635,6772696811,6805795501,6715890954,6785360614,6854716042,6782513439
Em que cidade termina a Rota 68 do Chile?,66349660789,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,19584154577,19437377102,19834883767,19660994420,19865804824,19820102368,19646561519,19805070259,20118395299,20029258895,19781674881,19655620665,19898268489,19998434881,19987165772,19904920045,20183538683,20045458170,20285117229,19915369681,20567589363,20425867388,20813629243,20298364184
