;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;49;49;49;49;49;49;73;73;73;73;73;73;98;98;98;98;-1;98;148;148;148;148;-1;-1;198;198;198;198;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;498;-1;-1;748;748;-1;748;-1;-1
Liste todos os musicais com músicas de Elton John.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;149;149;149;149;-1;-1;199;199;199;199;-1;-1;298;298;298;298;-1;-1;398;398;-1;398;-1;-1;498;498;-1;-1;-1;-1;748;748;-1;-1;-1;-1
Qual a altura do Farol em Colombo?;26218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;-1;-1;-1;500;500;-1;-1;-1;-1;738;738;-1;-1;-1;-1
Quem foi a esposa do presidente americano Lincoln?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;300;300;300;300;-1;-1;400;400;-1;400;-1;-1;500;500;-1;500;-1;-1;750;750;-1;-1;-1;-1
Quem é o apresentador do BBC Wildlife Specials?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;9;9;9;9;9;9;29;29;29;29;29;29;49;49;49;49;49;49;74;74;74;74;74;74;99;99;99;99;-1;-1;149;149;149;149;-1;-1;199;199;199;199;-1;-1;299;299;299;299;-1;-1;399;399;-1;399;-1;-1;499;499;-1;499;-1;-1;749;749;-1;-1;-1;-1
Quanto custou Pulp Fiction?;10892;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;74;74;74;74;74;74;99;99;99;99;-1;-1;149;149;149;149;-1;-1;197;197;197;197;-1;-1;285;285;285;285;-1;-1;385;385;-1;385;-1;-1;485;485;-1;485;-1;-1;735;735;-1;-1;-1;-1
Em que cidade fica a cervejaria Heineken?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;99;99;99;99;-1;-1;148;148;148;148;-1;-1;197;197;197;197;-1;-1;297;297;297;297;-1;-1;397;397;-1;397;-1;-1;497;497;-1;497;-1;-1;747;747;-1;-1;-1;-1
Quando começou a Operação Overlord?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
Em que cidade termina a Rota 68 do Chile?;43350;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;10;10;10;10;30;30;30;30;30;30;50;50;50;50;50;50;75;75;75;75;75;75;100;100;100;100;-1;-1;150;150;150;150;-1;-1;200;200;200;200;-1;-1;298;298;298;298;-1;-1;398;398;-1;-1;-1;-1;498;498;-1;-1;-1;-1;748;748;-1;-1;-1;-1
