,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000
Quando foi a batalha de Gettysburg?,213806106,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,205189868,231455760,215199781,215603512,220951116,228704184,211672575,209500590,227190527,219135408,222125502,219686648,212265823,221007579,233995994,207257632,221043329,206269917,249445641,229474846,242434442,216175052,235979534,207642731
Liste todos os musicais com músicas de Elton John.,155543507,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,177559438,169094557,158236288,165457719,168403557,165868359,162990265,164411986,180168259,168857919,149954770,172996932,170006902,182138992,168529541,173071940,174559764,185228560,157072191,164589944,178772051,159724171,176525709,176086545
Qual a altura do Farol em Colombo?,4937158269,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,245489819,233658124,233652431,273239195,239005395,284186754,275865809,266389219,275652380,273894093,314999855,307285338,315570776,360749744,341472198,336951749,400022538,384516633,388185765,364022289,407383127,423915387,432384155,425765370
Quem foi a esposa do presidente americano Lincoln?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o apresentador do BBC Wildlife Specials?,147494038,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,163494713,149192433,143855115,150522069,139682077,156647735,156324975,154630153,155671627,155817886,127547674,153968885,141854452,153126767,159764731,165108637,153599202,171561831,171695793,155655672,153796323,152913251,150982061,151775082
Quanto custou Pulp Fiction?,85742286,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,83305374,81831696,89188195,95775626,92327604,89736654,95692287,94327937,101244882,83778965,90328386,89978820,94421801,89476212,92302228,95432876,94618914,96803702,91038151,101335033,89161133,99067971,107503070,94156163
Em que cidade fica a cervejaria Heineken?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando começou a Operação Overlord?,44231157,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,43108779,46875253,45334196,44833603,42364299,44148083,42728386,43746871,47159995,36706615,48081255,41242925,39256681,44040737,39963985,47681273,45928149,45107298,46601359,41561819,41284759,44416801,43241183,38310372
Em que cidade termina a Rota 68 do Chile?,41075057576,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,326691938,341660601,338114410,332967006,351669312,347270059,350505098,352194190,377701148,399241509,449142794,499830937,514477279,463243540,657474670,646845796,789578524,813511038,1014224053,632773529,1102258751,1085556017,1218687456,884527024
Quem desenvolveu o Slack?,100298009,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,108783130,103778435,109525559,100079696,113128591,113827300,112443374,105664621,106601979,104903157,107808000,114416187,94551827,100162132,124409022,112126506,107774875,109911605,102202821,122907375,106909450,111498607,111511977,116194499
Quem foi casada com o presidente Chirac?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que morreu Bruce Carver?,78180766,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,68627448,79637744,75026474,77207258,79867013,75277415,82739047,85315063,75581050,88010037,79637629,87410335,81554072,84135168,77434092,78399892,78452704,76963877,77463192,78329851,80583903,76621479,84620102,85861808
Quem pintou Tormenta no Mar da Galileia?,67099080,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,76559164,80340904,80286777,84307864,85069478,72064980,81319015,81665284,84299653,69238597,80031435,73704230,81090197,73176310,81195351,74284925,83510087,76768624,83567485,89553615,75088621,76772130,78684314,75087765
