,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000
Quando foi a batalha de Gettysburg?,2474720958,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2449882084,2491180162,2618606242,2525156764,2532842534,2493718339,2482565289,2374748702,2460739550,2374690746,2404972765,2461260875,2434159888,2421964434,2439462854,2366296675,2418191770,2427664468,2609265173,2480126916,2499031181,2416036819,2483282100,2448813772
Liste todos os musicais com músicas de Elton John.,1580446273,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1679636705,1603990382,1654975483,1603934520,1680096934,1615413550,1627719285,1642806984,1695990051,1677524808,1634710079,1676993833,1685017444,1650595231,1621237405,1643705308,1674617455,1675574477,1578218335,1584275197,1653862682,1607891265,1636107058,1649298270
Qual a altura do Farol em Colombo?,12944109281,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7996880429,7852273795,8395998786,7799134874,7825228167,7857364381,7805589042,7743187620,7752649968,7711626505,7973048969,7633415439,7860576443,8013123734,7750524860,7728804099,7995764848,7820445273,7794074294,7838713246,8003892430,7910666402,7944127855,7905881920
Quem foi a esposa do presidente americano Lincoln?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o apresentador do BBC Wildlife Specials?,10304712201,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,10332723104,10604049077,10668397781,10618279900,10622303775,10290089277,10591489325,10351319437,10842015681,10575481949,10352367943,10216130326,10457301114,10296347361,10213674055,10267852434,10092341931,10468350444,10136068454,10473612216,10166944894,10634852170,10522688928,10769040172
Quanto custou Pulp Fiction?,883086663,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,904697218,878065260,897929736,919891077,935204497,886660625,933615688,913735810,955198441,906267340,907734031,920787513,919543191,878724414,862766415,896074528,938045911,962354066,902870187,893804006,889435148,908024900,901853058,914189515
Em que cidade fica a cervejaria Heineken?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quando começou a Operação Overlord?,739552904,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,747007314,748324828,752881647,746261863,721227454,724775622,736713673,740223531,769771443,718357874,764354787,751469917,724539289,727209925,737670863,746371391,720026076,734532918,726629631,703095550,727471898,726435519,785479715,738297864
Em que cidade termina a Rota 68 do Chile?,53672340369,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,7234887657,7040841087,7252267736,7050534471,7069200017,7103156155,7068658599,7153460534,7302297764,7214607178,7123052437,7128351863,7231681357,7328911409,7404852787,7283541238,7552206367,7398641442,7697006637,7304762348,7859551298,7819367747,8152894014,7684801952
Quem desenvolveu o Slack?,1039072159,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1019385144,1079289776,1065424038,1066011798,1072274053,1029033855,1031380622,1031945435,1046521582,1026838224,1055968156,1051057021,1000712467,1039684445,1037111074,1068393071,1001528573,1071963747,1058165421,1067094517,1034234665,995858165,1031290845,1082624993
Quem foi casada com o presidente Chirac?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
De que morreu Bruce Carver?,832038897,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,830213667,828858799,827771826,839524311,796664707,815190864,857936094,827935204,807336035,877616245,791680280,835121951,804141770,820417382,841127145,802475047,815404248,798621582,821862372,820696947,816725853,829018093,821993343,804368065
Quem pintou Tormenta no Mar da Galileia?,765917352,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,789996212,811551640,799617781,782215579,799245736,772000168,798988554,798095816,823105425,768191776,812643172,798459751,804186525,788682816,791099236,787399438,768155846,782272775,821768401,816952173,780541181,816808263,795829911,773535703
Em quais cidades o rio Weser passa?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto,19919547689,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1341124856,1289381796,1314470845,1313226563,1394247399,1328501462,1332587338,1364885216,1357562782,1435957143,1364181052,1524217331,1540627516,1542820360,1658300406,1584743210,1761393846,1738199443,1891175838,1845090160,1887390953,1901462018,1996952160,1990616513
Com quem a filha de Robert Kennedy casou-se?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que livros de Kerouac foram publicados pela Viking Press?,836573033,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,844768837,855007463,841805072,849289999,883109373,833869831,874409057,868217080,846656940,883521891,855690282,845414971,828852483,879772634,839089264,849035838,900243107,825727708,840407606,880357053,834731693,874068412,857363111,827572637
Qual a altura de Amazon Eve?,2657536401,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2656064267,2658862821,2560186143,2606716519,2646767258,2539147772,2703097717,2648600172,2673960140,2589763921,2573803412,2470000856,2536832826,2626732050,2615417786,2579171076,2552108538,2534572959,2587482885,2577389534,2522322520,2448004173,2624646492,2574625519
Em que museu está exposto O Grito de Munch?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem escreveu o livro Os Pilares da Terra?,1055578353,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1088811575,1038993264,1043759413,1083206850,1086514622,1081507859,1048744858,1075125097,1093432055,1125835487,1010125782,1072811887,1077645994,1046373671,1053970862,1055350333,1078924490,1124548426,1035168270,1090011711,1056518734,1058042023,1086634859,1095199570
James Bond é casado?,955527280,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,990568428,936482363,962138519,989761837,999659455,981890704,957540704,973369833,958879822,968876080,973401282,954464964,955613006,971147848,942726961,952323872,948856579,941386437,954916835,986014788,967350678,965249745,928721344,922326951
Quem descobriu Ceres?,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Que rio a Ponte do Brooklyn cruza?,12431359304,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1321148704,1303713728,1282092470,1283012229,1311557015,1264921333,1321993753,1301884615,1368266268,1343929492,1405900270,1371942170,1384606225,1353791926,1468712053,1502815172,1646140630,1535122538,1574315288,1572615081,2001920090,1977873339,2351186328,2309288974
Quem foi chamado de Frank The Tank?,1082692220,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1055073201,1069442308,1064409997,1063296232,1072827500,1112542068,1039578332,1093727814,1090772687,1042383680,1095687571,1117280562,1074251946,1071652054,1104172138,1065864731,1071008524,1076584871,1059685372,1047860966,1076660447,1074936620,1094484199,1047519536
Qual é o maior país do mundo,-1,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito de Paris?,17405225603,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,17288315286,17101613070,17190989595,17084271714,17044660586,17023515807,17252149667,17838425196,17586965736,17227080710,17539607212,17623953862,17130026723,16966346212,17142874250,17678521564,17304689183,17273794130,17119755503,17360094803,17185092397,17894606772,17518201033,20081258860
