;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500
Quando foi a batalha de Gettysburg?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste todos os musicais com músicas de Elton John.;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a altura do Farol em Colombo?;26218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem foi a esposa do presidente americano Lincoln?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o apresentador do BBC Wildlife Specials?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quanto custou Pulp Fiction?;10892;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;149;149;197;197;285;285;385;385;485;485
Em que cidade fica a cervejaria Heineken?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quando começou a Operação Overlord?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que cidade termina a Rota 68 do Chile?;43350;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;298;298;398;398;498;498
Quem desenvolveu o Slack?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi casada com o presidente Chirac?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que morreu Bruce Carver?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem pintou Tormenta no Mar da Galileia?;124;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;29;29;49;49;74;74;99;99;122;122;122;122;122;122;122;122;122;122
Em quais cidades o rio Weser passa?;30195;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;29;29;49;49;73;73;97;97;147;147;197;197;297;297;397;397;497;497
Quantas cadeiras tem o estádio do Futebol Clube do Porto;17269;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;499;499
Com quem a filha de Robert Kennedy casou-se?;15917;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;149;149;199;199;299;299;399;399;499;499
Que livros de Kerouac foram publicados pela Viking Press?;29257;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;99;99;149;149;198;198;298;298;398;398;498;498
Qual a altura de Amazon Eve?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que museu está exposto O Grito de Munch?;11074;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;298;298;398;398;498;498
Quem escreveu o livro Os Pilares da Terra?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
James Bond é casado?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem descobriu Ceres?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que rio a Ponte do Brooklyn cruza?;11467;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;99;99;148;148;198;198;295;295;395;395;495;495
Quem foi chamado de Frank The Tank?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual é o maior país do mundo;38357;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Quem é o prefeito de Paris?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o treinador da equipe de hockey no gelo de Ankara?;21963;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;298;298;398;398;498;498
Quem é o prefeito da capital da Polinésia Francessa?;20205;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;148;148;198;198;298;298;398;398;498;498
Que prêmios Douglas Hofstadter ganhou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quanto custou The Lego Movie?;10919;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;99;99;147;147;196;196;286;286;386;386;486;486
Onde começa a Piccadilly?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
O Príncipe Harry e o Príncipe William têm os mesmos pais?;30847;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;149;149;199;199;299;299;399;399;499;499
Quem interpretou o Agente Smith em Matrix?;2502;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;98;98;148;148;197;197;296;296;395;395;494;494
Quantos idiomas são falados no Turquemenistão?;29108;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;150;150;200;200;300;300;400;400;500;500
Em que filmes Julia Roberts e Richard Gere atuaram?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;75;75;100;100;148;148;198;198;296;296;396;396;496;496
Em que país nasce o Ganges?;32058;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;73;73;98;98;148;148;198;198;298;298;398;398;498;498
Em que ano nasceu Rachel Stevens?;24255;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;29;29;48;48;73;73;98;98;148;148;198;198;298;298;398;398;495;495
Barack Obama é um Democrata?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Onde nasceu Bach?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas vezes Jane Fonda se casou?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foi o primeiro a escalar o Monte Everest?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantas pessoas vivem na Polônia;19746;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;49;49;74;74;99;99;149;149;198;198;298;298;398;398;498;498
Onde fica o Palácio de Westminster?;-1;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Batman Begins?;493;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10;10;30;30;50;50;74;74;98;98;148;148;198;198;296;296;396;396;489;489
