;base;base;base;base;base;base;base;base;base;base;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n;slm1n
;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500;10;30;50;75;100;150;200;300;400;500
Quando foi a batalha de Gettysburg?;217487744;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;225367800;238423695;214390696;203903716;234968601;219708673;207456019;219703619;219765605;198564281;231501307;209395747;247873682;228834858;217856376;227002470;241461659;236183329;212327713;211019191
Liste todos os musicais com músicas de Elton John.;148778499;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;156482840;172016729;170010612;165372998;166713055;169129731;162696863;165115924;168180203;161915568;169756762;166582033;157512792;179783698;161925740;169641044;163543369;179105236;165549548;170740780
Qual a altura do Farol em Colombo?;6177320218;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;253828270;256816122;252332139;262236455;278045627;264111620;280468401;272897676;289362373;272168766;298986234;310209724;377459339;331817915;486699788;472639754;590633053;593342218;661739946;477883076
Quem foi a esposa do presidente americano Lincoln?;188242701;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;186763950;204791295;194764755;223947221;181627296;192880392;190750559;190297990;178886911;185775039;199458125;186606669;190463280;203569128;198430709;191951081;178185418;193135707;198577343;203312510
Quem é o apresentador do BBC Wildlife Specials?;152247479;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;149729261;145757147;131003415;158559730;132014881;156651976;152230595;148338073;147675020;145101599;149979446;153876098;139298578;153019297;133501902;142025402;150595067;144051389;140185074;149788630
Quanto custou Pulp Fiction?;1387377579;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;175501951;177597538;188011570;166410737;182273791;185818087;233072213;237575744;234827605;248794851;294076586;314603317;285967408;313236360;330692297;298622576;329123442;310798036;344088390;359098835
Em que cidade fica a cervejaria Heineken?;242412158;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;253632887;256315285;243999807;264353033;252773419;315250210;243992530;262228502;247323076;243779113;309225479;220047190;263283362;240008448;280184119;302685668;249479941;249611139;254655547;256038346
Quando começou a Operação Overlord?;39733703;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;36235976;46742006;46126469;42273607;46041024;45491602;62289892;45760038;41231039;63120622;46374291;44564958;42400211;43058237;45307306;44200709;45516533;39890431;40261571;47861461
Em que cidade termina a Rota 68 do Chile?;43062868510;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;340032993;339089272;339098390;319323274;377641946;354382858;349450939;360870254;367102475;427206296;400660502;478609685;498284126;462176804;652532681;675113149;671654442;837619756;981382641;916135756
Quem desenvolveu o Slack?;98031749;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;110434918;104428140;106592970;107325187;96645096;107164153;112732417;107600311;97063181;116418164;110322671;112157183;108619227;98462646;124566602;107122357;109412518;97018023;111786855;108704659
Quem foi casada com o presidente Chirac?;81578225;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;84535323;94885082;92690612;88450715;106260993;106389990;111196549;94800244;98669187;90279755;91579499;90884572;100625649;90469356;98901569;106033214;96782534;96651582;103300354;101745963
De que morreu Bruce Carver?;68797723;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;79686310;74844353;73857638;84250529;88323674;76391695;73133854;80619408;85150073;70884365;86490621;87665496;79624765;81373466;79181766;85043155;87663015;91961890;81161181;91917806
Quem pintou Tormenta no Mar da Galileia?;208133884;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;107299414;89765039;118139593;106694425;137880045;122110160;150528793;155681437;191927225;189596282;243113888;236517448;207664460;245890987;215579465;232919765;243086571;230728068;232752602;221944163
Em quais cidades o rio Weser passa?;31084703031;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;292856232;252807745;315866139;286279768;295332235;282506451;309656748;310495848;341539160;314662196;318804862;350623345;342009271;330408206;314436170;325369357;431587751;367784270;388337068;386712960
Quantas cadeiras tem o estádio do Futebol Clube do Porto;16063492598;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;210419532;229285838;222761866;227447236;243725430;241383473;255367852;265536860;278625366;298137635;350974381;343039575;369995775;406415314;446071845;503456925;655742510;718187147;830554684;749272041
Com quem a filha de Robert Kennedy casou-se?;2502413748;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;218645621;228992480;220311742;216645323;223498796;209909874;227190579;238895653;231872928;241656607;280915090;258406141;266953470;255499173;282979968;298829028;290349821;310471884;344202196;329119128
Que livros de Kerouac foram publicados pela Viking Press?;26250137710;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;254539799;278698939;276818893;278666677;287299297;276084509;290351419;285742633;288340213;301985040;315617145;323328774;392885395;359377332;390718575;386221176;502659296;473268676;605363149;469098063
Qual a altura de Amazon Eve?;173487598;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;192235686;198983950;180406533;196857334;186930861;180671574;184421308;194015642;198825540;192095826;187453014;194556480;190907829;188660968;190196719;191342728;188561996;193535746;179505231;184494506
Em que museu está exposto O Grito de Munch?;2556138416;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;171690885;168003877;186631216;197091954;194645907;217943849;220388323;209327859;231867139;225466086;248945044;250063992;253523074;267617530;318804234;335913107;352031174;361228640;375504129;385684795
Quem escreveu o livro Os Pilares da Terra?;136042026;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;164309193;150320801;149410221;164408030;159391936;158942625;151670888;152139714;161281060;142713547;161955563;154157028;152895782;159784789;168316988;155205539;155737916;158810881;163909125;159420078
James Bond é casado?;93129924;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;101360013;106986061;109300459;114413204;109539771;111125854;108253949;108102026;115485660;103411577;103425726;104644166;101103184;97007015;113094086;114783064;118902174;118624413;115660408;104687628
Quem descobriu Ceres?;158890293;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;177094827;173742559;171013127;174010062;162858775;182364451;173878535;171972084;175665800;166489402;169658287;166229851;182573872;173011622;175205287;165596828;160492672;177957904;157482872;184438119
Que rio a Ponte do Brooklyn cruza?;10949152006;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;202689097;185672822;215150541;227395136;239968079;231769858;251036895;251706805;263519419;279080068;290887619;297993083;314921853;294629824;400491395;397176923;459526950;411371834;474167431;488345652
Quem foi chamado de Frank The Tank?;143175623;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;155291566;155580585;155329884;165325777;165517051;166540861;167381173;150994363;163153536;147773348;162711441;147639402;157592640;160523171;154723478;153859951;173069041;156329192;167299637;157979851
Qual é o maior país do mundo;16933302976;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;581298826;620410414;592351939;505218790;606018152;511287235;452374887;481998227;622976788;588559008;612012291;708203355;646029349;544221427;579460204;561081439;671804026;704296267;721154044;668180458
Quem é o prefeito de Paris?;202937846;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;234780033;246780282;231715500;234505506;248315322;252498913;240493562;231379170;257015478;255489409;255387946;225555353;238534753;252004101;241732902;239931366;233275474;252569081;268875104;255511663
