,base,base,base,base,base,base,base,base,base,base,base,base,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,slm1,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn,sl1mn
,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000,10,30,50,75,100,150,200,300,400,500,750,1000
Quando foi a batalha de Gettysburg?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liste todos os musicais com músicas de Elton John.,3,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Qual a altura do Farol em Colombo?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Quem foi a esposa do presidente americano Lincoln?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quem é o apresentador do BBC Wildlife Specials?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quanto custou Pulp Fiction?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em que cidade fica a cervejaria Heineken?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quando começou a Operação Overlord?,0,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Em que cidade termina a Rota 68 do Chile?,12,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Quem desenvolveu o Slack?,2,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,remove column,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
