;base;base;base;base;base;base;base;base;base;base;base;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n;all4slm1n
;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750;10;30;50;75;100;150;200;300;400;500;750
Quando foi a batalha de Gettysburg?;2275794536;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;2204426353;2193062012;2187837433;2249182680;2324693609;2300079512;2284365986;2231908922;2362612623;2462005205;3403036427;3463947753;2283092161;2215312561;2698041264;2675841495;8730713263;7758420797;2199116486;2219362514;3197352536;2978229806;40835759904;23224461357;2268425780;2257573998;3880959312;3262857188;138142792141;43111713208;2272920982;2252818902;6334340180;4121181955;134716022402;134692724933;2296305197;2297968062;11161240235;5135288350;145938996323;134217522012;2407980413;2448699407;39701560041;8130922747;142506691741;141200083208;2616844451;2634372610;137297909141;12765892812;134604234303;142692061917;2837118054;2824114507;136586951788;19209569223;136497891474;183870963723;3108009439;3365533628;134927369510;51466149677;135194049227;146023461298
Liste todos os musicais com músicas de Elton John.;1497101744;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1533947736;1546221993;1505059423;1573037656;1653160307;1587243232;1526388220;1548246287;1698612756;1723473476;3038521501;3063785706;1607063252;1567898451;2112670431;1734112254;9589852936;9424349989;1568528200;1547987767;2732968584;2426904735;44198895783;45901264984;1575856396;1566028783;3604847693;2832650733;142583675453;137531691309;1675914944;1616131589;6063890783;4778067791;135045447129;134206313633;1707219008;1699951204;11182117004;8394276068;132242610132;143569151106;1875206948;1900155559;41071528258;22817233842;246725006623;253164673074;2023423416;2033679992;157928369146;46755487914;142844159879;136126220004;2156358547;2122475478;135250345524;133483117306;149796895955;129774838053;2124210780;2163777674;150084814884;141869610984;142002860626;141621379107
Qual a altura do Farol em Colombo?;15638200850;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;13916025806;13743982422;14381467279;14068811529;14248842127;14353307527;13952582229;13618413616;14549918617;14414659499;15346177086;14970147630;9455832996;13856998292;14251675770;14058695917;20909940089;21029317356;13641767696;13951867032;14855079619;14730082579;56331010779;59914193616;13981225277;13907262352;15188459887;14735451950;138319408669;138698605135;14599086887;13890897991;18249325632;16415698820;130177381866;135300681312;14212686255;13781736413;23146873287;19896440377;147649119777;144963290171;14081136492;13936118167;50370243210;55605616491;141695124129;152474494842;14050949371;14589583150;131828510074;134387305205;136628789112;126114384835;14123594543;14317647964;134066625197;143913948690;138138127753;133493298145;14193103652;14638796239;135859532502;143692800259;129967486791;132071645842
Quem foi a esposa do presidente americano Lincoln?;3024997644;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3110176039;3581803558;3044053544;3064529371;3139697780;3155163240;3126033091;3076843954;3270638767;3271239941;4379192891;4718134373;3082472158;3086185553;3659632281;3657172856;9761644281;9880547896;3074195458;3162999625;4500879566;4510932700;43634527200;43130602532;3157522291;3081976650;4492184358;4384516986;138321712663;131277311040;3163541183;3217262187;6837082281;6812060913;133657483733;129908912624;3276541750;3269094157;11296747072;12561470168;130329615567;136166769846;3349921436;3361167249;40323434620;24043550426;155477153630;210069960218;3405310650;3444024599;143744825282;42160743879;139148873243;241806749680;3447509552;3341509486;133658690650;88504694078;138300181256;135963759009;3451877425;3478132130;129574969297;141036457444;143257437452;168943342744
Quem é o apresentador do BBC Wildlife Specials?;10401927013;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;10070463952;9961191404;10217719083;9839301163;10325989465;9849451575;9842008043;9992959856;10290878028;10489136922;11141923917;10849997673;10089524117;10177045031;10004487187;10380153428;16116084380;15858049118;9942054682;10129481647;10789628672;10334747439;49347237875;46572344778;10062228011;10031920583;11247425218;10811798579;143592748656;130064209102;10052538577;9979260947;13675231095;11181115706;129893692738;143194519560;10241928965;10024619930;17582410320;11405541475;134254662007;138907074876;9982971322;10251582453;45816087764;14792099879;145141651615;162100062224;9838652921;10063236959;130296925062;24944289589;144214946997;148237130324;10074481654;10159385199;140317356269;46704557303;135768627971;153054048211;10377348230;10122220026;129616957620;138983363260;130310830619;134826045329
Quanto custou Pulp Fiction?;55194590016;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;54850411217;55068636029;54834289516;94503713146;94225580928;54359991228;54976447392;54605571593;53670226863;93668378730;56284421580;55826868208;55019658231;54775695359;55244196949;93828638219;64029716148;61489694386;93586025570;55980595029;55570134432;56846938916;91645999526;91662816411;56197492135;54128740639;58128566940;57220600475;127428636935;135769789872;57149566513;98139769753;56752142265;60031350983;122245827701;125239387874;93370034737;55335527897;64063355654;102667855067;126282250523;135714804782;54491192630;54282370017;87184582753;67504956345;132326920441;130258625931;54402292956;54029893981;125267030280;85445971947;123373225893;131922374278;57037073870;53668389771;137432330681;106998791531;133491664226;132041687215;55274841780;54932430785;133186277299;133438099232;122699487876;130785567443
Em que cidade fica a cervejaria Heineken?;1531921051;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1590478016;1551800545;1585560888;1597981818;1618093729;1573041172;1554448197;1596826957;1703724812;1735712420;2856334770;2797212384;1590701979;1582052507;2036102541;2112350499;8867459656;8726721027;1630322943;1569683746;2529406494;2313564776;39947702010;39366106797;1648462791;1538272688;3086421459;2694864314;134407865668;134173422320;1656845009;1586077954;5968123732;4208989302;133802531010;148302609289;1593162499;1699817872;10148105723;5745713256;132172617942;143256378384;1686121997;1662552431;39045003859;9984678627;270605250181;73946776022;1630085950;1650653293;141410506182;17726604211;165778320231;199095740021;1684556971;1677982170;137485195483;34034064653;156534262281;160842954209;1725150304;1663375117;155000275338;135759370396;140878133889;135183339544
Quando começou a Operação Overlord?;766854182;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;794179659;792660815;822920235;819944014;895828351;914176858;803296631;777562190;864430947;841754579;1028400635;1042630646;797234496;834150187;862017331;846182347;1085229956;1066474796;813180200;802561606;852039517;861947236;1059400055;1039715669;814398704;796051125;849065937;856277328;994481241;1038791720;836466202;812126049;879129001;852250552;1025740417;1032654971;800570804;793962738;844571519;861088318;1026375044;1029111532;829393874;793608997;818481097;863614168;1054574594;1025085709;761700904;781392226;850938820;852742832;1044546015;1077964119;823788274;818102721;874376415;870347800;1039720744;1042488900;771815984;792865678;884237251;860281731;1072654800;1050339848
Em que cidade termina a Rota 68 do Chile?;49979526080;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;3928796407;3990541039;3985260408;3988249530;3966896006;4090837496;3941488402;4007070366;4140315345;4123863663;5104851143;5117446066;3955028732;4010780909;4445414018;4156008495;12342823493;11175602117;3908445916;3918925218;4891838121;4688985706;47582076113;43890169759;4032498480;3988763875;5190940125;5121200426;137973772732;131872593114;4081772656;4049463659;8452478096;7558104951;135417255600;134761885452;4121417543;4079316747;13472157025;11953218378;135876717639;143739145305;4287487481;4236153690;42642243128;37202189429;238596233354;158689633312;4381959357;4437335962;139571473084;130459987090;130913571729;131091217969;4573586843;4338451875;133123880859;138165352351;139373833595;129913602615;4755704206;4671298741;125041342722;140115362834;130210603638;132402204679
Quem desenvolveu o Slack?;978703993;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;1028329946;1013448780;976475041;1003144914;1087140590;1075352317;986910306;973175590;1177723846;1110040752;2287317077;2273522103;994732450;1007335566;1586455407;1221118569;9083231188;5447903916;1006076619;998155076;2006822635;1581444882;41774391653;34476122615;1061765245;1002924700;2609077773;1922479785;132921868005;141789055107;1024803661;1025208080;5639282458;2992381618;133695640891;133709460112;1033753038;1038605854;10122041053;5275577858;143799031238;133838679024;1032320726;1090040657;37855752791;12218638983;166852684377;174474003417;1101765097;1079075959;149619255571;30578578375;147800832754;158268572058;1108750046;1135620386;133336271477;64588493592;140085431137;212630451899;1175908562;1171499241;146001916189;150935308180;138760606562;173851329284
Quem foi casada com o presidente Chirac?;851109832;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;893926834;873764719;896382687;915613830;1004602342;1013361707;917713452;938896721;1084398760;1112823514;2184999658;2166965617;929466591;942738416;1379440790;1395601220;8054725941;7890371887;969089238;942164227;1845356666;1820811102;40403607403;38465270060;1006157620;965396989;2328022551;2322885796;139401566998;137619120686;1013426314;971076887;5487689242;4629039231;141576059570;135211151588;987646042;1045206334;9952822595;7095380921;147594677344;133515469108;1022509755;1027345991;37355669529;13430581111;368268523688;149422544559;1045237106;1032059240;161412619220;32726172772;148375225937;174324258892;1071220632;1071976850;142723207075;42500486272;141308513490;140863537997;1052458066;1093933428;146231801472;157081087401;154379569987;145105533552
De que morreu Bruce Carver?;827270796;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;remove column;863580260;859912486;851547826;868880373;912497808;929452813;843120522;821813071;1096228512;956656164;2226568829;2124552718;853264616;871776311;1439123968;1116034226;8528396822;8107948153;838960174;860836176;1964651904;1595305626;41566513302;41177855064;845240403;851297549;2577906539;2140230459;133861202348;140242337594;866737313;872095103;5255460885;3683005208;132841666574;133452921603;868546222;889900984;9678804787;5652463100;143956763536;133027692622;892122383;858000250;36524615156;13580960481;141580131395;221000203588;885634477;884310441;81337825704;34320898818;143209754959;143994714602;896179759;948689021;81076596564;29181284797;138014157563;144133347872;878266225;948093912;82623159282;33091225283;136444973711;151267551174
